id,label,type,tipo_procedimento,url,is_tributario,date,indegree,weighted-indegree,outdegree,weighted-outdegree,degree,weighted-degree,pagerank,weighted-pagerank,authority,hub,norm-betweenness,norm-weighted-betweenness,eigenvector,weighted-eigenvector,modularity-class,weighted-modularity-class
https://dati.cortecostituzionale.it/ontology/Pronuncia/1/1997,S 1/1997,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1997%3A1,TRIBUTARIO,1997-01-09,0,0,0,0,0,0,0.00016896566759776866,0.00016896566759776866,0.0,0.0,0.0,0.0,4.996779176806281e-36,7.917340996864914e-40,0,0
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1968,O 10/1968,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1968%3A10,TRIBUTARIO,1968-03-11,0,0,1,1,1,1,0.00016896566759776866,0.00016896566759776866,-9.352435956841919e-19,1.5097037385947456e-11,0.0,0.0,4.996779176806281e-36,7.917340996864914e-40,16,16
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1969,S 10/1969,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1969%3A10,TRIBUTARIO,1969-01-30,13,21,4,8,17,29,0.0036075097828582466,0.0036075097828582466,6.315095371552771e-10,1.657583416958659e-11,0.00019234768408261428,0.0001911901103536136,1.2991995281615421e-08,2.4355118353473e-10,227,227
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/1999,O 10/1999,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1999%3A10,TRIBUTARIO,1999-01-18,11,11,2,2,13,13,0.0006932224377018717,0.0006932224377018717,4.724692328186553e-07,1.8942768191818037e-08,1.619366112316221e-05,2.0116544147184063e-05,1.993562443587134e-16,4.9849184952373075e-21,98,98
https://dati.cortecostituzionale.it/ontology/Pronuncia/10/2015,S 10/2015,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2015%3A10,TRIBUTARIO,2015-02-09,18,30,19,37,37,67,0.0007944625802147793,0.0007944625802147793,0.0006239324281005396,0.00018787375791027452,0.0012979882069499146,0.0013743308782034004,4.373088201256767e-21,3.805045285476587e-24,232,232
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1957,O 100/1957,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1957%3A100,TRIBUTARIO,1957-06-07,0,0,1,1,1,1,0.00016896566759776866,0.00016896566759776866,-9.094642558310807e-19,2.494638168548221e-09,0.0,0.0,4.996779176806281e-36,7.917340996864914e-40,460,460
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1964,S 100/1964,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1964%3A100,TRIBUTARIO,1964-12-03,5,5,4,7,9,12,0.000300948116347733,0.000300948116347733,1.3481652095835952e-08,1.7460811389055123e-08,2.7303265847192095e-06,4.236713665943601e-06,7.90010220327292e-28,1.490212520582571e-30,136,136
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1969,S 100/1969,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1969%3A100,TRIBUTARIO,1969-05-22,0,0,1,1,1,1,0.00016896566759776866,0.00016896566759776866,3.9785695020336174e-19,1.1126814980451857e-09,0.0,0.0,4.996779176806281e-36,7.917340996864914e-40,136,136
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1973,O 100/1973,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1973%3A100,TRIBUTARIO,1973-06-14,0,0,0,0,0,0,0.00016896566759776866,0.00016896566759776866,2.2428385625538292e-18,0.0,0.0,0.0,4.996779176806281e-36,7.917340996864914e-40,1,1
https://dati.cortecostituzionale.it/ontology/Pronuncia/100/1991,S 100/1991,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1991%3A100,TRIBUTARIO,1991-02-25,0,0,1,1,1,1,0.00016896566759776866,0.00016896566759776866,-3.349171982251979e-18,3.152090754183918e-21,0.0,0.0,4.996779176806281e-36,7.917340996864914e-40,162,162
