id,value,type,tipoprocedimento,url,isTributario,date
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1962,O 102/1962,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1962%3A102,TRIBUTARIO,1962-11-15
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1973,O 102/1973,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1973%3A102,TRIBUTARIO,1973-06-14
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/1993,S 102/1993,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1993%3A102,TRIBUTARIO,1993-03-10
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/2008,S 102/2008,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA PRINCIPALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2008%3A102,TRIBUTARIO,2008-02-13
https://dati.cortecostituzionale.it/ontology/Pronuncia/102/2017,O 102/2017,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A2017%3A102,TRIBUTARIO,2017-04-12
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1964,S 103/1964,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1964%3A103,TRIBUTARIO,1964-12-03
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1967,S 103/1967,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1967%3A103,TRIBUTARIO,1967-06-26
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1976,S 103/1976,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1976%3A103,TRIBUTARIO,1976-04-23
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1983,S 103/1983,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1983%3A103,TRIBUTARIO,1983-03-30
https://dati.cortecostituzionale.it/ontology/Pronuncia/103/1990,S 103/1990,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,http://www.cortecostituzionale.it/actionSchedaPronuncia.do?param_ecli=ECLI%3AIT%3ACOST%3A1990%3A103,TRIBUTARIO,1990-02-21
