id,label,type,tipo_procedimento,presidente,relatore,tipodispositivo,url,is_tributario,datadecisione,datadeposito,indegree,weighted-indegree,outdegree,weighted-outdegree,degree,weighted-degree,pagerank,weighted-pagerank,authority,hub,norm-betweenness,norm-weighted-betweenness,eigenvector,weighted-eigenvector,modularity-class,weighted-modularity-class
https://dati.cortecostituzionale.it/ontology/Pronuncia/119/2002,O 119/2002,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,VARI,AMIRANTE,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2002/119.html,TRIBUTARIO,2002-04-10,2002-04-12,3,3,3,3,6,6,0.0004955125816730091,0.0004955125816730091,2.953900766238579e-08,2.3846260183437413e-12,2.259580621836587e-06,2.259580621836587e-06,1.6788776250039368e-26,1.0838676387506456e-29,505,505
https://dati.cortecostituzionale.it/ontology/Pronuncia/185/2009,O 185/2009,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,AMIRANTE,GALLO F.,manifesta infondatezza,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/2009/185.html,TRIBUTARIO,2009-06-22,2009-06-26,1,1,6,10,7,11,0.00021673865637214052,0.00021673865637214052,6.572729468782847e-09,3.623973472074804e-08,9.989453497113476e-05,0.00010638544930505343,9.990084127804167e-21,3.4395711213766724e-23,321,321
https://dati.cortecostituzionale.it/ontology/Pronuncia/115/1976,O 115/1976,O,GIUDIZIO PER CONFLITTO DI ATTRIBUZIONE TRA ENTI,ROSSI,ASTUTI,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1976/115.html,TRIBUTARIO,1976-05-06,1976-05-06,1,1,0,0,1,1,0.0003347983091280423,0.0003347983091280423,-7.725751791438984e-18,-0.0,0.0,0.0,4.539235010482847e-28,3.7398193306954543e-31,472,472
https://dati.cortecostituzionale.it/ontology/Pronuncia/122/1981,O 122/1981,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,GIONFRIDA,ROSSANO,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1981/122.html,TRIBUTARIO,1981-06-23,1981-07-07,1,1,1,2,2,3,0.00021174600980250323,0.00021174600980250323,1.5416303810952678e-17,1.0264407439272163e-19,0.0,0.0,4.539235010482847e-28,3.7398193306954543e-31,149,149
https://dati.cortecostituzionale.it/ontology/Pronuncia/593/1988,O 593/1988,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,SAJA,SAJA,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1988/593.html,TRIBUTARIO,1988-05-12,1988-05-31,1,1,1,1,2,2,0.0002675887328320518,0.0002675887328320518,2.9899065189890958e-18,6.7503959544585796e-21,0.0,5.648951554591468e-07,6.2587164123199866e-24,8.978225065229635e-27,405,405
https://dati.cortecostituzionale.it/ontology/Pronuncia/92/1990,O 92/1990,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,SAJA,GRECO,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1990/92.html,TRIBUTARIO,1990-02-20,1990-02-26,2,2,5,5,7,7,0.00022060204649638668,0.00022060204649638668,1.2960954437742917e-11,8.1420390133678e-13,0.0,0.0,9.014537133494107e-28,7.411641946287354e-31,17,17
https://dati.cortecostituzionale.it/ontology/Pronuncia/451/1989,S 451/1989,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,SAJA,SAJA,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1989/451.html,TRIBUTARIO,1989-07-19,1989-07-27,0,0,2,3,2,3,0.00018098293497111843,0.00018098293497111843,-5.238309015411629e-19,-3.636204544274446e-20,0.0,0.0,6.393288747158936e-30,6.799671510355371e-33,295,295
https://dati.cortecostituzionale.it/ontology/Pronuncia/187/1975,S 187/1975,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,BONIFACIO,ROCCHETTI,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1975/187.html,TRIBUTARIO,1975-06-27,1975-07-08,0,0,0,0,0,0,0.00018098293497111843,0.00018098293497111843,1.758982112757493e-18,-0.0,0.0,0.0,6.393288747158936e-30,6.799671510355371e-33,296,296
https://dati.cortecostituzionale.it/ontology/Pronuncia/135/1967,S 135/1967,S,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,AMBROSINI,MANCA,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1967/135.html,TRIBUTARIO,1967-12-12,1967-12-15,3,3,3,4,6,7,0.0006634416381147794,0.0006634416381147794,2.756381039710413e-18,3.5706131642618964e-11,0.00010698591193326373,0.00010662049622868494,1.3126553117717533e-10,7.415535645125139e-12,297,297
https://dati.cortecostituzionale.it/ontology/Pronuncia/235/1986,O 235/1986,O,GIUDIZIO DI LEGITTIMITÀ COSTITUZIONALE IN VIA INCIDENTALE,LA PERGOLA,SAJA,,http://dati.igsg.cnr.it/repo/IT/CORTE_COST/1986/235.html,TRIBUTARIO,1986-10-31,1986-11-05,0,0,0,0,0,0,0.00018098293497111843,0.00018098293497111843,-6.240073771996686e-19,-0.0,0.0,0.0,6.393288747158936e-30,6.799671510355371e-33,298,298
